Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
12/02/16,08:30:00 PM,Washington Wizards,105,San Antonio Spurs,107,Box Score,,18418,
12/02/16,07:30:00 PM,Los Angeles Lakers,80,Toronto Raptors,113,Box Score,,19800,
12/03/16,07:00:00 PM,Minnesota Timberwolves,125,Charlotte Hornets,120,Box Score,OT,16982,
12/03/16,08:30:00 PM,Chicago Bulls,82,Dallas Mavericks,107,Box Score,,19857,
12/03/16,10:30:00 PM,Phoenix Suns,109,Golden State Warriors,138,Box Score,,19596,
12/03/16,08:00:00 PM,Los Angeles Lakers,100,Memphis Grizzlies,103,Box Score,,17017,
12/03/16,05:00:00 PM,Brooklyn Nets,103,Milwaukee Bucks,112,Box Score,,15565,
12/03/16,07:30:00 PM,Boston Celtics,107,Philadelphia 76ers,106,Box Score,,17063,
12/03/16,10:00:00 PM,Miami Heat,92,Portland Trail Blazers,99,Box Score,,19393,
12/03/16,07:30:00 PM,Atlanta Hawks,84,Toronto Raptors,128,Box Score,,19800,
12/03/16,09:00:00 PM,Denver Nuggets,98,Utah Jazz,105,Box Score,,19911,
12/04/16,06:00:00 PM,Orlando Magic,98,Detroit Pistons,92,Box Score,,15206,
12/04/16,09:30:00 PM,Indiana Pacers,111,Los Angeles Clippers,102,Box Score,,19060,
12/04/16,07:30:00 PM,Sacramento Kings,98,New York Knicks,106,Box Score,,19812,
12/04/16,07:00:00 PM,New Orleans Pelicans,92,Oklahoma City Thunder,101,Box Score,,18203,
12/05/16,07:30:00 PM,Oklahoma City Thunder,102,Atlanta Hawks,99,Box Score,,14654,
12/05/16,07:30:00 PM,Washington Wizards,118,Brooklyn Nets,113,Box Score,,12529,
12/05/16,08:00:00 PM,Portland Trail Blazers,112,Chicago Bulls,110,Box Score,,21351,
12/05/16,08:30:00 PM,Charlotte Hornets,109,Dallas Mavericks,101,Box Score,,19228,
12/05/16,10:30:00 PM,Indiana Pacers,106,Golden State Warriors,142,Box Score,,19596,
12/05/16,08:00:00 PM,Boston Celtics,106,Houston Rockets,107,Box Score,,15730,
12/05/16,10:30:00 PM,Utah Jazz,107,Los Angeles Lakers,101,Box Score,,18279,
12/05/16,08:00:00 PM,San Antonio Spurs,97,Milwaukee Bucks,96,Box Score,,14256,
12/05/16,08:00:00 PM,Memphis Grizzlies,110,New Orleans Pelicans,108,Box Score,2OT,13795,
12/05/16,07:00:00 PM,Denver Nuggets,106,Philadelphia 76ers,98,Box Score,,11815,
12/05/16,07:30:00 PM,Cleveland Cavaliers,116,Toronto Raptors,112,Box Score,,19800,
12/06/16,07:30:00 PM,Chicago Bulls,91,Detroit Pistons,102,Box Score,,14305,
12/06/16,08:00:00 PM,Philadelphia 76ers,91,Memphis Grizzlies,96,Box Score,,13521,
12/06/16,07:30:00 PM,New York Knicks,114,Miami Heat,103,Box Score,,19610,
12/06/16,08:00:00 PM,San Antonio Spurs,105,Minnesota Timberwolves,91,Box Score,,12585,
12/06/16,09:00:00 PM,Phoenix Suns,105,Utah Jazz,112,Box Score,,18997,
12/06/16,07:00:00 PM,Orlando Magic,124,Washington Wizards,116,Box Score,,12116,
12/07/16,07:30:00 PM,Miami Heat,95,Atlanta Hawks,103,Box Score,,11326,
12/07/16,07:30:00 PM,Denver Nuggets,111,Brooklyn Nets,116,Box Score,,14159,
12/07/16,07:00:00 PM,Detroit Pistons,77,Charlotte Hornets,87,Box Score,,15141,
12/07/16,08:30:00 PM,Sacramento Kings,120,Dallas Mavericks,89,Box Score,,19711,
12/07/16,08:00:00 PM,Los Angeles Lakers,95,Houston Rockets,134,Box Score,,16141,
12/07/16,10:30:00 PM,Golden State Warriors,115,Los Angeles Clippers,98,Box Score,,19239,
12/07/16,08:00:00 PM,Portland Trail Blazers,107,Milwaukee Bucks,115,Box Score,,14033,
12/07/16,08:00:00 PM,Cleveland Cavaliers,126,New York Knicks,94,Box Score,,19812,
12/07/16,07:00:00 PM,Boston Celtics,117,Orlando Magic,87,Box Score,,17009,
12/07/16,09:00:00 PM,Indiana Pacers,109,Phoenix Suns,94,Box Score,,17452,
12/08/16,09:30:00 PM,San Antonio Spurs,91,Chicago Bulls,95,Box Score,,21489,
12/08/16,08:00:00 PM,Portland Trail Blazers,86,Memphis Grizzlies,88,Box Score,,14317,
12/08/16,08:00:00 PM,Philadelphia 76ers,99,New Orleans Pelicans,88,Box Score,,14158,
12/08/16,07:00:00 PM,Minnesota Timberwolves,110,Toronto Raptors,124,Box Score,,19800,
12/08/16,09:00:00 PM,Golden State Warriors,106,Utah Jazz,99,Box Score,,19911,
12/08/16,07:00:00 PM,Denver Nuggets,85,Washington Wizards,92,Box Score,,12645,
12/09/16,07:30:00 PM,Toronto Raptors,101,Boston Celtics,94,Box Score,,18624,
12/09/16,07:00:00 PM,Orlando Magic,88,Charlotte Hornets,109,Box Score,,15707,
12/09/16,07:30:00 PM,Miami Heat,84,Cleveland Cavaliers,114,Box Score,,20562,
12/09/16,08:30:00 PM,Indiana Pacers,103,Dallas Mavericks,111,Box Score,,19486,
12/09/16,10:30:00 PM,Phoenix Suns,119,Los Angeles Lakers,115,Box Score,,18997,
12/09/16,08:00:00 PM,Atlanta Hawks,114,Milwaukee Bucks,110,Box Score,,16289,
12/09/16,08:00:00 PM,Detroit Pistons,117,Minnesota Timberwolves,90,Box Score,,14109,
12/09/16,08:00:00 PM,Houston Rockets,102,Oklahoma City Thunder,99,Box Score,,18203,
12/09/16,10:30:00 PM,New York Knicks,103,Sacramento Kings,100,Box Score,,17608,
12/10/16,08:00:00 PM,Miami Heat,100,Chicago Bulls,105,Box Score,,21450,
12/10/16,07:30:00 PM,Charlotte Hornets,105,Cleveland Cavaliers,116,Box Score,,20562,
12/10/16,08:00:00 PM,Dallas Mavericks,87,Houston Rockets,109,Box Score,,15761,
12/10/16,07:00:00 PM,Portland Trail Blazers,111,Indiana Pacers,118,Box Score,,16211,
12/10/16,10:30:00 PM,New Orleans Pelicans,105,Los Angeles Clippers,133,Box Score,,19060,
12/10/16,08:00:00 PM,Golden State Warriors,89,Memphis Grizzlies,110,Box Score,,18119,
12/10/16,07:00:00 PM,Denver Nuggets,121,Orlando Magic,113,Box Score,,17010,
12/10/16,08:30:00 PM,Brooklyn Nets,101,San Antonio Spurs,130,Box Score,,18418,
12/10/16,09:00:00 PM,Sacramento Kings,84,Utah Jazz,104,Box Score,,19331,
12/10/16,07:00:00 PM,Milwaukee Bucks,105,Washington Wizards,110,Box Score,,14816,
12/11/16,06:00:00 PM,Philadelphia 76ers,97,Detroit Pistons,79,Box Score,,7244,
12/11/16,09:30:00 PM,New York Knicks,118,Los Angeles Lakers,112,Box Score,,18997,
12/11/16,07:00:00 PM,Golden State Warriors,116,Minnesota Timberwolves,108,Box Score,,18452,
12/11/16,07:00:00 PM,Boston Celtics,96,Oklahoma City Thunder,99,Box Score,,18203,
12/11/16,08:30:00 PM,New Orleans Pelicans,120,Phoenix Suns,119,Box Score,OT,16949,
12/12/16,08:30:00 PM,Denver Nuggets,92,Dallas Mavericks,112,Box Score,,19425,
12/12/16,08:00:00 PM,Brooklyn Nets,118,Houston Rockets,122,Box Score,,13619,
12/12/16,07:00:00 PM,Charlotte Hornets,94,Indiana Pacers,110,Box Score,,14138,
12/12/16,10:30:00 PM,Portland Trail Blazers,120,Los Angeles Clippers,121,Box Score,,19060,
12/12/16,07:30:00 PM,Washington Wizards,101,Miami Heat,112,Box Score,,19600,
12/12/16,10:30:00 PM,Los Angeles Lakers,92,Sacramento Kings,116,Box Score,,17608,
12/12/16,07:30:00 PM,Milwaukee Bucks,100,Toronto Raptors,122,Box Score,,19800,
12/13/16,07:30:00 PM,Orlando Magic,131,Atlanta Hawks,120,Box Score,,13585,
12/13/16,08:00:00 PM,Minnesota Timberwolves,99,Chicago Bulls,94,Box Score,,21146,
12/13/16,07:00:00 PM,Memphis Grizzlies,86,Cleveland Cavaliers,103,Box Score,,20562,
12/13/16,08:00:00 PM,Golden State Warriors,113,New Orleans Pelicans,109,Box Score,,17789,
12/13/16,09:00:00 PM,New York Knicks,111,Phoenix Suns,113,Box Score,OT,16429,
12/13/16,10:30:00 PM,Oklahoma City Thunder,95,Portland Trail Blazers,114,Box Score,,19505,
12/14/16,07:30:00 PM,Los Angeles Lakers,97,Brooklyn Nets,107,Box Score,,17732,
12/14/16,08:30:00 PM,Detroit Pistons,95,Dallas Mavericks,85,Box Score,,19687,
12/14/16,08:00:00 PM,Sacramento Kings,98,Houston Rockets,132,Box Score,,15039,
12/14/16,08:00:00 PM,Cleveland Cavaliers,85,Memphis Grizzlies,93,Box Score,,17449,
12/14/16,07:00:00 PM,Indiana Pacers,89,Miami Heat,95,Box Score,,19600,
12/14/16,07:00:00 PM,Los Angeles Clippers,113,Orlando Magic,108,Box Score,,18846,
12/14/16,07:00:00 PM,Toronto Raptors,123,Philadelphia 76ers,114,Box Score,,16192,
12/14/16,09:30:00 PM,Boston Celtics,101,San Antonio Spurs,108,Box Score,,18418,
12/14/16,09:00:00 PM,Oklahoma City Thunder,89,Utah Jazz,109,Box Score,,19911,
12/14/16,07:00:00 PM,Charlotte Hornets,106,Washington Wizards,109,Box Score,,13447,
12/15/16,09:00:00 PM,Portland Trail Blazers,120,Denver Nuggets,132,Box Score,,10022,
12/15/16,10:30:00 PM,New York Knicks,90,Golden State Warriors,103,Box Score,,19596,
12/15/16,08:00:00 PM,Chicago Bulls,97,Milwaukee Bucks,108,Box Score,,16704,
12/15/16,08:00:00 PM,Indiana Pacers,95,New Orleans Pelicans,102,Box Score,,15472,
12/15/16,09:00:00 PM,San Antonio Spurs,107,Phoenix Suns,92,Box Score,,17165,
12/16/16,07:30:00 PM,Charlotte Hornets,88,Boston Celtics,96,Box Score,,18624,
12/16/16,08:00:00 PM,Milwaukee Bucks,95,Chicago Bulls,69,Box Score,,21324,
12/16/16,08:00:00 PM,New Orleans Pelicans,100,Houston Rockets,122,Box Score,,16728,
12/16/16,08:00:00 PM,Sacramento Kings,96,Memphis Grizzlies,92,Box Score,,15987,
12/16/16,08:00:00 PM,Los Angeles Clippers,102,Miami Heat,98,Box Score,,19600,
12/16/16,07:00:00 PM,Brooklyn Nets,111,Orlando Magic,118,Box Score,,17668,
12/16/16,08:00:00 PM,Los Angeles Lakers,100,Philadelphia 76ers,89,Box Score,,20491,
12/16/16,07:30:00 PM,Atlanta Hawks,125,Toronto Raptors,121,Box Score,,19800,
12/16/16,10:30:00 PM,Dallas Mavericks,100,Utah Jazz,103,Box Score,,18721,
12/16/16,07:00:00 PM,Detroit Pistons,108,Washington Wizards,122,Box Score,,15573,
12/17/16,07:30:00 PM,Charlotte Hornets,107,Atlanta Hawks,99,Box Score,,17918,
12/17/16,07:30:00 PM,Los Angeles Lakers,108,Cleveland Cavaliers,119,Box Score,,20562,
12/17/16,09:00:00 PM,New York Knicks,114,Denver Nuggets,127,Box Score,,12042,
12/17/16,07:00:00 PM,Indiana Pacers,105,Detroit Pistons,90,Box Score,,15231,
12/17/16,10:30:00 PM,Portland Trail Blazers,90,Golden State Warriors,135,Box Score,,19596,
12/17/16,08:00:00 PM,Houston Rockets,111,Minnesota Timberwolves,109,Box Score,OT,14689,
12/17/16,05:00:00 PM,Phoenix Suns,101,Oklahoma City Thunder,114,Box Score,,18203,
12/18/16,04:00:00 PM,Sacramento Kings,79,Dallas Mavericks,99,Box Score,,19504,
12/18/16,06:00:00 PM,Utah Jazz,82,Memphis Grizzlies,73,Box Score,,15862,
12/18/16,06:00:00 PM,Boston Celtics,105,Miami Heat,95,Box Score,,19600,
12/18/16,06:00:00 PM,Toronto Raptors,109,Orlando Magic,79,Box Score,,17251,
12/18/16,06:00:00 PM,Brooklyn Nets,107,Philadelphia 76ers,108,Box Score,,16460,
12/18/16,07:00:00 PM,New Orleans Pelicans,100,San Antonio Spurs,113,Box Score,,18615,
12/18/16,03:30:00 PM,Los Angeles Clippers,110,Washington Wizards,117,Box Score,,17380,
12/19/16,08:00:00 PM,Detroit Pistons,82,Chicago Bulls,113,Box Score,,21400,
12/19/16,09:00:00 PM,Dallas Mavericks,107,Denver Nuggets,117,Box Score,,12581,
12/19/16,07:00:00 PM,Washington Wizards,105,Indiana Pacers,107,Box Score,,17686,
12/19/16,08:00:00 PM,Phoenix Suns,108,Minnesota Timberwolves,115,Box Score,,12008,
12/19/16,08:00:00 PM,Atlanta Hawks,110,Oklahoma City Thunder,108,Box Score,,18203,
12/20/16,07:00:00 PM,Los Angeles Lakers,113,Charlotte Hornets,117,Box Score,,19093,
12/20/16,10:30:00 PM,Utah Jazz,74,Golden State Warriors,104,Box Score,,19596,
12/20/16,08:00:00 PM,San Antonio Spurs,102,Houston Rockets,100,Box Score,,18055,
12/20/16,10:30:00 PM,Denver Nuggets,102,Los Angeles Clippers,119,Box Score,,19060,
12/20/16,08:00:00 PM,Boston Celtics,112,Memphis Grizzlies,109,Box Score,OT,16519,
12/20/16,07:30:00 PM,Orlando Magic,136,Miami Heat,130,Box Score,2OT,19600,
12/20/16,08:00:00 PM,Cleveland Cavaliers,114,Milwaukee Bucks,108,Box Score,OT,17053,
12/20/16,07:30:00 PM,Indiana Pacers,111,New York Knicks,118,Box Score,,19812,
12/20/16,07:00:00 PM,New Orleans Pelicans,108,Philadelphia 76ers,93,Box Score,,16322,
12/20/16,10:30:00 PM,Portland Trail Blazers,121,Sacramento Kings,126,Box Score,,17608,
12/20/16,07:30:00 PM,Brooklyn Nets,104,Toronto Raptors,116,Box Score,,19800,
12/21/16,07:30:00 PM,Minnesota Timberwolves,92,Atlanta Hawks,84,Box Score,,17578,
12/21/16,08:00:00 PM,Washington Wizards,107,Chicago Bulls,97,Box Score,,21358,
12/21/16,07:00:00 PM,Milwaukee Bucks,102,Cleveland Cavaliers,113,Box Score,,20562,
12/21/16,07:30:00 PM,Memphis Grizzlies,98,Detroit Pistons,86,Box Score,,16033,
12/21/16,08:00:00 PM,Oklahoma City Thunder,121,New Orleans Pelicans,110,Box Score,,16375,
12/21/16,09:00:00 PM,Houston Rockets,125,Phoenix Suns,111,Box Score,,18055,
12/21/16,10:00:00 PM,Dallas Mavericks,96,Portland Trail Blazers,95,Box Score,,19393,
12/21/16,09:00:00 PM,Sacramento Kings,94,Utah Jazz,93,Box Score,,19195,
12/22/16,07:30:00 PM,Golden State Warriors,117,Brooklyn Nets,101,Box Score,,17732,
12/22/16,07:00:00 PM,Boston Celtics,109,Indiana Pacers,102,Box Score,,17577,
12/22/16,10:30:00 PM,San Antonio Spurs,101,Los Angeles Clippers,106,Box Score,,19060,
12/22/16,08:00:00 PM,Los Angeles Lakers,107,Miami Heat,115,Box Score,,19712,
12/22/16,07:30:00 PM,Orlando Magic,95,New York Knicks,106,Box Score,,19812,
12/23/16,07:30:00 PM,Oklahoma City Thunder,117,Boston Celtics,112,Box Score,,18624,
12/23/16,07:00:00 PM,Chicago Bulls,91,Charlotte Hornets,103,Box Score,,19249,
12/23/16,07:30:00 PM,Brooklyn Nets,99,Cleveland Cavaliers,119,Box Score,,20562,
12/23/16,09:00:00 PM,Atlanta Hawks,109,Denver Nuggets,108,Box Score,,13823,
12/23/16,07:30:00 PM,Golden State Warriors,119,Detroit Pistons,113,Box Score,,21012,
12/23/16,10:30:00 PM,Dallas Mavericks,90,Los Angeles Clippers,88,Box Score,,19060,
12/23/16,08:00:00 PM,Houston Rockets,109,Memphis Grizzlies,115,Box Score,,17454,
12/23/16,08:00:00 PM,Washington Wizards,96,Milwaukee Bucks,123,Box Score,,15921,
12/23/16,08:00:00 PM,Sacramento Kings,109,Minnesota Timberwolves,105,Box Score,,13288,
12/23/16,08:00:00 PM,Miami Heat,87,New Orleans Pelicans,91,Box Score,,16322,
12/23/16,07:00:00 PM,Los Angeles Lakers,90,Orlando Magic,109,Box Score,,18846,
12/23/16,09:00:00 PM,Philadelphia 76ers,116,Phoenix Suns,123,Box Score,,16535,
12/23/16,10:00:00 PM,San Antonio Spurs,110,Portland Trail Blazers,90,Box Score,,19393,
12/23/16,09:00:00 PM,Toronto Raptors,104,Utah Jazz,98,Box Score,,19911,
12/25/16,02:30:00 PM,Golden State Warriors,108,Cleveland Cavaliers,109,Box Score,,20562,
12/25/16,10:30:00 PM,Los Angeles Clippers,102,Los Angeles Lakers,111,Box Score,,18997,
12/25/16,12:00:00 PM,Boston Celtics,119,New York Knicks,114,Box Score,,19812,
12/25/16,08:00:00 PM,Minnesota Timberwolves,100,Oklahoma City Thunder,112,Box Score,,18203,
12/25/16,05:00:00 PM,Chicago Bulls,100,San Antonio Spurs,119,Box Score,,18428,
12/26/16,07:30:00 PM,Charlotte Hornets,118,Brooklyn Nets,120,Box Score,,17732,
12/26/16,08:00:00 PM,Indiana Pacers,85,Chicago Bulls,90,Box Score,,21922,
12/26/16,07:30:00 PM,Cleveland Cavaliers,90,Detroit Pistons,106,Box Score,,18123,
12/26/16,08:00:00 PM,Phoenix Suns,115,Houston Rockets,131,Box Score,,18055,
12/26/16,10:30:00 PM,Denver Nuggets,106,Los Angeles Clippers,102,Box Score,,19060,
12/26/16,08:00:00 PM,Atlanta Hawks,90,Minnesota Timberwolves,104,Box Score,,15617,
12/26/16,08:00:00 PM,Dallas Mavericks,104,New Orleans Pelicans,111,Box Score,,15764,
12/26/16,07:00:00 PM,Memphis Grizzlies,102,Orlando Magic,112,Box Score,,17104,
12/26/16,10:00:00 PM,Toronto Raptors,95,Portland Trail Blazers,91,Box Score,,19393,
12/26/16,10:30:00 PM,Philadelphia 76ers,100,Sacramento Kings,102,Box Score,,17608,
12/26/16,07:00:00 PM,Milwaukee Bucks,102,Washington Wizards,107,Box Score,,15773,
12/27/16,07:30:00 PM,Memphis Grizzlies,103,Boston Celtics,113,Box Score,,18624,
12/27/16,08:30:00 PM,Houston Rockets,123,Dallas Mavericks,107,Box Score,,20425,
12/27/16,10:30:00 PM,Utah Jazz,102,Los Angeles Lakers,100,Box Score,,18997,
12/27/16,07:30:00 PM,Oklahoma City Thunder,106,Miami Heat,94,Box Score,,19977,
12/28/16,07:30:00 PM,New York Knicks,98,Atlanta Hawks,102,Box Score,OT,19066,
12/28/16,08:00:00 PM,Brooklyn Nets,99,Chicago Bulls,101,Box Score,,21957,
12/28/16,09:00:00 PM,Minnesota Timberwolves,103,Denver Nuggets,105,Box Score,,15093,
12/28/16,07:30:00 PM,Milwaukee Bucks,119,Detroit Pistons,94,Box Score,,17222,
12/28/16,10:30:00 PM,Toronto Raptors,111,Golden State Warriors,121,Box Score,,19596,
12/28/16,08:00:00 PM,Los Angeles Clippers,98,New Orleans Pelicans,102,Box Score,,16647,
12/28/16,07:00:00 PM,Charlotte Hornets,120,Orlando Magic,101,Box Score,,18273,
12/28/16,10:00:00 PM,Sacramento Kings,89,Portland Trail Blazers,102,Box Score,,19665,
12/28/16,08:30:00 PM,Phoenix Suns,98,San Antonio Spurs,119,Box Score,,18418,
12/28/16,07:00:00 PM,Indiana Pacers,105,Washington Wizards,111,Box Score,,16172,
12/29/16,07:00:00 PM,Miami Heat,82,Charlotte Hornets,91,Box Score,,19471,
12/29/16,08:00:00 PM,Boston Celtics,118,Cleveland Cavaliers,124,Box Score,,20562,
12/29/16,10:30:00 PM,Dallas Mavericks,101,Los Angeles Lakers,89,Box Score,,18997,
12/29/16,08:00:00 PM,Oklahoma City Thunder,80,Memphis Grizzlies,114,Box Score,,18119,
12/29/16,09:00:00 PM,Toronto Raptors,91,Phoenix Suns,99,Box Score,,18055,
12/29/16,09:00:00 PM,Philadelphia 76ers,83,Utah Jazz,100,Box Score,,19911,
12/30/16,08:00:00 PM,Detroit Pistons,98,Atlanta Hawks,105,Box Score,,19009,
12/30/16,07:30:00 PM,Miami Heat,114,Boston Celtics,117,Box Score,,18624,
12/30/16,09:00:00 PM,Philadelphia 76ers,124,Denver Nuggets,122,Box Score,,13619,
12/30/16,10:30:00 PM,Dallas Mavericks,99,Golden State Warriors,108,Box Score,,19596,
12/30/16,08:00:00 PM,Los Angeles Clippers,116,Houston Rockets,140,Box Score,,18055,
12/30/16,04:00:00 PM,Chicago Bulls,101,Indiana Pacers,111,Box Score,,17923,
12/30/16,08:00:00 PM,Milwaukee Bucks,99,Minnesota Timberwolves,116,Box Score,,17779,
12/30/16,08:00:00 PM,New York Knicks,92,New Orleans Pelicans,104,Box Score,,18124,
12/30/16,08:30:00 PM,Portland Trail Blazers,94,San Antonio Spurs,110,Box Score,,18418,
12/30/16,07:00:00 PM,Brooklyn Nets,95,Washington Wizards,118,Box Score,,16461,
12/31/16,07:00:00 PM,Milwaukee Bucks,116,Chicago Bulls,96,Box Score,,21838,
12/31/16,07:00:00 PM,Cleveland Cavaliers,121,Charlotte Hornets,109,Box Score,,19519,
12/31/16,08:00:00 PM,New York Knicks,122,Houston Rockets,129,Box Score,,18055,
12/31/16,08:00:00 PM,Los Angeles Clippers,88,Oklahoma City Thunder,114,Box Score,,18203,
12/31/16,05:00:00 PM,Memphis Grizzlies,112,Sacramento Kings,98,Box Score,,17608,
12/31/16,08:00:00 PM,Phoenix Suns,86,Utah Jazz,91,Box Score,,19911,
